steps,time,reward,delta,converged
136,0.00026297569274902344,0.0,0.0006277936292914633,False
137,0.001249074935913086,0.0,0.0006277936292914633,False
138,0.00012612342834472656,0.0,0.0006277936292914633,False
139,0.0009441375732421875,0.0,0.0006277936292914633,False
140,0.00048470497131347656,0.0,0.0006277936292914633,False
141,0.0004382133483886719,0.0,0.0006277936292914633,False
142,0.00011110305786132812,0.0,0.0006277936292914633,False
143,0.00033211708068847656,0.0,0.0006277936292914633,False
144,0.0008940696716308594,0.0,0.0006277936292914633,False
145,0.0002617835998535156,0.0,0.0006277936292914633,False
146,0.00019288063049316406,0.0,0.0006277936292914633,False
147,0.0002791881561279297,0.0,0.0006277936292914633,False
148,0.00024509429931640625,0.0,0.0006277936292914633,False
149,0.0004839897155761719,0.0,0.0006277936292914633,False
150,0.0003578662872314453,0.0,0.0006277936292914633,False
151,0.0003330707550048828,0.0,0.0006277936292914633,False
152,0.00019598007202148438,0.0,0.0006277936292914633,False
153,0.0008990764617919922,0.0,0.0006277936292914633,False
154,0.0001780986785888672,0.0,0.0006277936292914633,False
155,0.0008149147033691406,0.0,0.0006277936292914633,False
156,0.00017833709716796875,0.0,0.0006277936292914633,False
157,0.00033211708068847656,0.0,0.0006277936292914633,False
158,0.000637054443359375,0.0,0.0006277936292914633,False
159,0.00016188621520996094,0.0,0.0006277936292914633,False
160,0.0004742145538330078,0.0,0.0006277936292914633,False
161,0.00023221969604492188,0.0,0.0006277936292914633,False
162,0.00028324127197265625,0.0,0.0006277936292914633,False
163,0.000335693359375,0.0,0.0006277936292914633,False
164,0.0005059242248535156,0.0,0.0006277936292914633,False
165,0.00045418739318847656,0.0,0.0006277936292914633,False
166,0.00017690658569335938,0.0,0.0006277936292914633,False
167,0.0002627372741699219,0.0,0.0006277936292914633,False
168,0.0007441043853759766,0.023255813953488372,0.9998021924376415,False
169,0.0007421970367431641,0.0,0.9998021924376415,False
170,0.0002796649932861328,0.0,0.9998021924376415,False
171,0.0006730556488037109,0.0,0.9998021924376415,False
172,0.00019621849060058594,0.0,0.9998021924376415,False
173,0.0008158683776855469,0.0,0.9998021924376415,False
174,0.00034999847412109375,0.0,0.9998021924376415,False
175,0.0005407333374023438,0.0,0.9998021924376415,False
176,0.0009169578552246094,0.0,0.9998021924376415,False
177,0.00021219253540039062,0.0,0.9998021924376415,False
178,0.0001780986785888672,0.0,0.9998021924376415,False
179,0.0005040168762207031,0.0,0.9998021924376415,False
180,0.0003509521484375,0.0,0.9998021924376415,False
181,0.0004181861877441406,0.0,0.9998021924376415,False
182,0.0009160041809082031,0.0,0.9998021924376415,False
183,0.0005438327789306641,0.0,0.9998021924376415,False
184,0.00021505355834960938,0.0,0.9998021924376415,False
185,0.0002288818359375,0.0,0.9998021924376415,False
186,0.0002608299255371094,0.0,0.9998021924376415,False
187,0.00036597251892089844,0.0,0.9998021924376415,False
188,0.0006711483001708984,0.0,0.9998021924376415,False
189,0.00021195411682128906,0.0,0.9998021924376415,False
190,0.0004329681396484375,0.0,0.9998021924376415,False
191,0.0007557868957519531,0.0,0.9998021924376415,False
192,0.00017595291137695312,0.0,0.9998021924376415,False
193,0.0007028579711914062,0.0,0.9998021924376415,False
194,0.0003478527069091797,0.0,0.9998021924376415,False
195,0.00043392181396484375,0.0,0.9998021924376415,False
196,0.0005848407745361328,0.0,0.9998021924376415,False
197,0.0005021095275878906,0.0,0.9998021924376415,False
198,0.0003478527069091797,0.0,0.9998021924376415,False
199,0.00022912025451660156,0.0,0.9998021924376415,False
200,0.0002627372741699219,0.0,0.9998021924376415,False
